lr,n,collapsed_count,top1_warning_count,final_loss_mean,final_loss_median,final_loss_std,final_loss_cv,final_loss_min,final_loss_max,eval_holdout_loss_mean,eval_holdout_loss_median,eval_holdout_loss_std,eval_holdout_loss_cv,eval_holdout_loss_min,eval_holdout_loss_max,max_grad_norm_mean,max_grad_norm_median,max_grad_norm_std,max_grad_norm_cv,max_grad_norm_min,max_grad_norm_max,wall_time_s_mean,wall_time_s_median,wall_time_s_std,wall_time_s_cv,wall_time_s_min,wall_time_s_max
5e-07,12,0,12,2.5441081666666667,2.458008,0.5718485505328444,0.22477367826781125,1.861328,3.447266,7.51407875,7.538867,0.06880934257276006,0.009157389064196332,7.365625,7.566992,163.1386906362701,28.12131061222697,260.97462490554,1.599710184553353,8.61390551233561,723.4341519137,35.358333333333334,35.325,0.28612881184826,0.008092259585621306,34.97,35.84
2e-06,12,0,12,2.4155274166666665,2.3925780000000003,0.5033815602176686,0.2083940578543776,1.807617,3.402344,7.237890666666667,7.359961,0.3743437931805305,0.05172001214449548,6.433789,7.554688,221.36919728576794,27.209497303398262,403.52252281292647,1.822848561410352,9.136913214946231,1135.92636918468,34.285833333333336,34.195,0.9903117813307188,0.028883993330502455,33.13,35.5
1e-05,12,0,12,1.6959635833333333,1.7001955,0.572465064688343,0.33754561142356077,0.65332,2.693359,5.398754916666666,5.617334,1.5604447121912195,0.2890378867493913,2.804492,7.369141,547.6366108303768,130.1643067529045,1084.5454922793429,1.9804108615654015,10.755796650009868,3807.9987700299184,35.005,34.845,0.31410768275168977,0.008973223332429359,34.74,35.53
5e-05,12,0,12,0.83846525,0.844482,0.6176236036429726,0.7366120464061839,0.088379,1.753906,2.57990725,2.6939450000000003,1.2969717842462618,0.5027203145563709,1.024701,5.562305,488.0305159485592,203.40627512048275,623.9036992045887,1.2784112444115099,31.853242379320736,1743.449359014096,34.071666666666665,33.504999999999995,1.5571817978370908,0.0457031296141591,33.31,38.95
0.0001,12,0,12,0.60023875,0.350464,0.64445684686495,1.073667514576408,0.029099,1.708984,1.8398444166666668,1.648926,0.867498556329892,0.47150647547773644,0.892516,3.568164,219.9363232952984,157.72102316949957,145.29533189312767,0.6606245376669605,51.12666894598112,542.1981503630551,35.2675,34.955,0.8702259372244561,0.0246750106252061,34.72,37.88
